,Model,Precision,Recall,f1 score,Accuracy,ROC-AUC,Training time (sec)
0,XGBoost,0.9843978598890817,0.9898351955547527,0.9870749703041857,0.9899909008189263,0.9898351955547529,10.97
1,SVM (Linear),0.9867521367521368,0.9800574579172365,0.9833432931476478,0.9872611464968153,0.9800574579172364,0.15
2,SVM (RBF),0.9879051691655202,0.9789242123190462,0.9833046867539954,0.9872611464968153,0.9789242123190464,10.24
3,Logistic Regr.,0.9861081100547393,0.9644199588849036,0.9746296795044438,0.9808917197452229,0.9644199588849036,2.02
4,MultinomialNB,0.9850835322195703,0.9562937062937062,0.969576911450265,0.9772520473157416,0.9562937062937062,0.01
5,Random Forest,0.9808206361935312,0.9486856931506378,0.9633575467671954,0.9727024567788899,0.9486856931506379,3.64
6,Gradient Boosting,0.973134239878884,0.9462256685503918,0.9586750718867507,0.9690627843494085,0.9462256685503918,19.83
7,Decision Tree,0.9586949789869498,0.9459353684445935,0.952075702075702,0.9636032757051866,0.9459353684445936,1.63
8,KNN,0.9684428739693758,0.927609905469684,0.945718160102017,0.9599636032757052,0.9276099054696839,0.01
