,params,mean_test_score
30,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.9767972385975799
31,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 150}",0.9763429517013135
29,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",0.9736133519495294
26,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9724749198469336
27,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}",0.972020632950667
47,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 150}",0.9708845278725825
25,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.9706557037956356
46,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 100}",0.9702029682490432
23,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150}",0.9699736270555384
22,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9679273968352466
42,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}",0.967471041472748
43,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 150}",0.9667902575240459
45,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 50}",0.9665616920053781
41,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}",0.9651970214086255
39,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 150}",0.9633770296824904
38,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.9631494983969388
21,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.9608741855414211
34,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 100}",0.9563253697383389
37,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 50}",0.9563248526217809
35,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 150}",0.9554149860378528
33,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 50}",0.9524596649084703
44,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 5}",0.9522287723652912
15,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150}",0.9499560450925639
19,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 150}",0.9485926672872067
40,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 5}",0.9469996897300652
14,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.9456337263419174
11,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150}",0.9419927086565313
10,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.9385805150480918
18,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100}",0.9333524666459819
36,"{'learning_rate': 1, 'max_depth': 3, 'n_estimators': 5}",0.921066811459303
7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150}",0.9165172199813838
17,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50}",0.9076453097528183
6,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.9067271693039611
32,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 5}",0.8573725307684352
28,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 5}",0.8038962147067948
3,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 150}",0.7615999586306753
13,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",0.756597631606164
24,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 5}",0.7554597166201262
9,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.754549850036198
1,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 50}",0.7543220601923674
20,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 5}",0.7543220601923674
16,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 5}",0.7543220601923674
12,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 5}",0.7543220601923674
8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5}",0.7543220601923674
5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.7543220601923674
4,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5}",0.7543220601923674
2,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100}",0.7543220601923674
0,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5}",0.7543220601923674
