,Threshold,Accuracy,Duration,Number of Words Added
0,25 %,0.9881710646041856,21.07,100
1,20 %,0.9872611464968153,23.26,300
2,20 %,0.986351228389445,17.09,100
3,30 %,0.986351228389445,31.38,300
4,20 %,0.986351228389445,16.77,200
5,30 %,0.986351228389445,25.18,200
6,30 %,0.9854413102820746,18.9,100
7,25 %,0.9854413102820746,24.43,200
8,25 %,0.9845313921747043,17.64,300
9,35 %,0.9845313921747043,23.87,100
10,20 %,0.9827115559599636,15.31,400
11,40 %,0.9818016378525932,27.08,100
12,30 %,0.9818016378525932,48.94,400
13,25 %,0.9818016378525932,36.9,500
14,35 %,0.9818016378525932,86.18,500
15,20 %,0.9808917197452229,25.75,500
16,35 %,0.9799818016378526,38.33,200
17,35 %,0.9799818016378526,52.79,300
18,25 %,0.9799818016378526,32.09,400
19,35 %,0.9790718835304822,66.5,400
20,30 %,0.9790718835304822,48.18,500
21,40 %,0.9754322111010009,55.34,200
22,40 %,0.9708826205641492,79.17,300
23,40 %,0.9708826205641492,84.9,400
24,40 %,0.9708826205641492,106.67,500
